Code,Description,Type
U1,"BRIDGE, TUNNEL, HIGHWAY",UTILITY BUREAU PROPERTIES
U2,GAS OR ELECTRIC UTILITY,UTILITY BUREAU PROPERTIES
U3,CEILING RAILROAD,UTILITY BUREAU PROPERTIES
U4,TELEPHONE UTILITY,UTILITY BUREAU PROPERTIES
U5,COMMUNICATION FACILITY OTHER THAN TELEPHONE,UTILITY BUREAU PROPERTIES
U6,RAILROAD - PRIVATE OWNERSHIP,UTILITY BUREAU PROPERTIES
U7,TRANSPORTATION - PUBLIC OWNERSHIP,UTILITY BUREAU PROPERTIES
U8,REVOCABLE CONSENT,UTILITY BUREAU PROPERTIES
U9,MISCELLANEOUS UTILITY PROPERTY,UTILITY BUREAU PROPERTIES
UR,UTILITY REVOCABLE CONSENT,UTILITY BUREAU PROPERTIES
V,VACANT LAND,VACANT LAND
V0,ZONED RESIDENTIAL; NOT MANHATTAN,VACANT LAND
V1,ZONED COMMERCIAL OR MANHATTAN RESIDENTIAL,VACANT LAND
V2,ZONED COMMERCIAL ADJACENT TO CLASS 1 DWELLING: NOT MANHATTAN,VACANT LAND
V3,ZONED PRIMARILY RESIDENTIAL; NOT MANHATTAN,VACANT LAND
V4,POLICE OR FIRE DEPARTMENT,VACANT LAND
V5,SCHOOL SITE OR YARD,VACANT LAND
V6,"LIBRARY, HOSPITAL OR MUSEUM",VACANT LAND
V7,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,VACANT LAND
V8,NEW YORK STATE OR US GOVERNMENT,VACANT LAND
V9,MISCELLANEOUS VACANT LAND,VACANT LAND
VG,COMMUNITY GARDEN ZONED RESIDENTIAL; NOT MANHATTAN,VACANT LAND
VC,COMMUNITY GARDEN ZONED COMMERCIAL OR MANHATTAN,VACANT LAND
W,EDUCATIONAL FACILITIES,EDUCATIONAL FACILITIES
W1,"PUBLIC ELEMENTARY, JUNIOR OR SENIOR HIGH",EDUCATIONAL FACILITIES
W2,"PAROCHIAL SCHOOL, YESHIVA",EDUCATIONAL FACILITIES
W3,SCHOOL OR ACADEMY,EDUCATIONAL FACILITIES
W4,TRAINING SCHOOL,EDUCATIONAL FACILITIES
W5,CITY UNIVERSITY,EDUCATIONAL FACILITIES
W6,OTHER COLLEGE AND UNIVERSITY,EDUCATIONAL FACILITIES
W7,THEOLOGICAL SEMINARY,EDUCATIONAL FACILITIES
W8,OTHER PRIVATE SCHOOL,EDUCATIONAL FACILITIES
W9,MISCELLANEOUS EDUCATIONAL FACILITY,EDUCATIONAL FACILITIES
Y,GOVERNMENT/CITY DEPARTMENTS,GOVERNMENT/CITY DEPARTMENTS
Y1,FIRE DEPARTMENT,GOVERNMENT/CITY DEPARTMENTS
Y2,POLICE DEPARTMENT,GOVERNMENT/CITY DEPARTMENTS
Y3,"PRISON, JAIL, HOUSE OF DETENTION",GOVERNMENT/CITY DEPARTMENTS
Y4,MILITARY AND NAVAL INSTALLATION,GOVERNMENT/CITY DEPARTMENTS
Y5,DEPARTMENT OF REAL ESTATE,GOVERNMENT/CITY DEPARTMENTS
Y6,DEPARTMENT OF SANITATION,GOVERNMENT/CITY DEPARTMENTS
Y7,DEPARTMENT OF PORTS AND TERMINALS,GOVERNMENT/CITY DEPARTMENTS
Y8,DEPARTMENT OF PUBLIC WORKS,GOVERNMENT/CITY DEPARTMENTS
Y9,DEPARTMENT OF ENVIRONMENTAL PROTECTION,GOVERNMENT/CITY DEPARTMENTS
Z,MISC. BUILDING CLASSIFICATIONS,MISC. BUILDING CLASSIFICATIONS
Z0,"TENNIS COURT, POOL, SHED, ETC.",MISC. BUILDING CLASSIFICATIONS
Z1,COURT HOUSE,MISC. BUILDING CLASSIFICATIONS
Z2,PUBLIC PARKING AREA,MISC. BUILDING CLASSIFICATIONS
Z3,POST OFFICE,MISC. BUILDING CLASSIFICATIONS
Z4,FOREIGN GOVERNMENT,MISC. BUILDING CLASSIFICATIONS
Z5,UNITED NATIONS,MISC. BUILDING CLASSIFICATIONS
Z7,EASEMENT,MISC. BUILDING CLASSIFICATIONS
Z8,CEMETERY,MISC. BUILDING CLASSIFICATIONS
Z9,OTHER MISCELLANEOUS,MISC. BUILDING CLASSIFICATIONS
